Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Tipo Agregado;Valor m2
Apartamento;Recreio dos Bandeirantes;2;1;1;65;1800.0;680.0;100.0;Apartamento;27.692307692307693
Casa;Barra da Tijuca;6;4;6;540;25000.0;2333.0;2900.0;Casa;46.2962962962963
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1500.0;737.0;142.0;Apartamento;21.428571428571427
Apartamento;Tijuca;3;0;0;98;1700.0;390.0;93.0;Apartamento;17.346938775510203
Apartamento;Andaraí;2;0;0;66;700.0;900.0;46.0;Apartamento;10.606060606060606
Apartamento;Ipanema;3;2;1;200;6300.0;2200.0;400.0;Apartamento;31.5
Apartamento;Pechincha;2;1;0;60;900.0;420.0;15.0;Apartamento;15.0
Apartamento;Vila Valqueire;3;2;1;129;2200.0;755.0;195.0;Apartamento;17.05426356589147
Apartamento;Santa Teresa;2;0;0;65;1400.0;600.0;0.0;Apartamento;21.53846153846154
Apartamento;Leblon;4;2;2;230;17900.0;5000.0;1000.0;Apartamento;77.82608695652173
Apartamento;Gávea;3;1;1;138;7900.0;1900.0;3418.0;Apartamento;57.2463768115942
Apartamento;São Conrado;3;2;1;150;6500.0;1800.0;0.0;Apartamento;43.333333333333336
Apartamento;Jacarepaguá;4;2;2;155;3000.0;1664.0;309.0;Apartamento;19.35483870967742
Apartamento;Ipanema;3;1;0;130;8000.0;2000.0;480.0;Apartamento;61.53846153846154
Apartamento;Botafogo;3;1;1;123;4000.0;1188.0;221.0;Apartamento;32.520325203252035
Apartamento;Cachambi;2;0;0;50;900.0;313.0;0.0;Apartamento;18.0
Apartamento;Botafogo;1;0;0;38;1300.0;400.0;25.0;Apartamento;34.21052631578947
Apartamento;Tijuca;2;1;0;88;1100.0;693.0;32.0;Apartamento;12.5
Apartamento;Lins de Vasconcelos;2;0;0;50;900.0;360.0;13.0;Apartamento;18.0
Apartamento;Recreio dos Bandeirantes;3;1;1;80;1700.0;900.0;195.0;Apartamento;21.25
Apartamento;Copacabana;1;0;0;36;1700.0;632.0;69.0;Apartamento;47.22222222222222
Apartamento;Campo Grande;2;1;0;70;750.0;330.0;0.0;Apartamento;10.714285714285714
Quitinete;Copacabana;1;0;0;30;1150.0;450.0;30.0;Apartamento;38.333333333333336
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;850.0;590.0;37.0;Apartamento;17.346938775510203
Apartamento;Copacabana;1;0;0;37;2200.0;555.0;70.0;Apartamento;59.45945945945946
Apartamento;Ipanema;3;1;1;126;6000.0;1667.0;590.0;Apartamento;47.61904761904762
Apartamento;Gávea;2;1;0;63;3300.0;650.0;0.0;Apartamento;52.38095238095238
Apartamento;Barra da Tijuca;2;1;0;74;2100.0;750.0;0.0;Apartamento;28.37837837837838
Apartamento;Barra da Tijuca;2;1;1;70;2300.0;1000.0;80.0;Apartamento;32.857142857142854
Apartamento;Barra da Tijuca;4;3;4;292;16000.0;5000.0;1500.0;Apartamento;54.794520547945204
Apartamento;Barra da Tijuca;4;2;1;330;9000.0;3100.0;1085.0;Apartamento;27.272727272727273
Apartamento;Recreio dos Bandeirantes;2;1;1;65;1800.0;560.0;0.0;Apartamento;27.692307692307693
Casa;Campo Grande;2;0;0;70;1000.0;0.0;0.0;Casa;14.285714285714286
Casa;Barra da Tijuca;4;6;2;232;6500.0;1100.0;800.0;Casa;28.017241379310345
Apartamento;Flamengo;3;0;1;110;3800.0;659.0;146.0;Apartamento;34.54545454545455
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;342.0;Apartamento;50.0
Apartamento;Glória;1;0;0;28;1500.0;250.0;0.0;Apartamento;53.57142857142857
Apartamento;Barra da Tijuca;2;2;1;65;1600.0;1270.0;233.0;Apartamento;24.615384615384617
Apartamento;Engenho Novo;2;1;0;69;1250.0;600.0;0.0;Apartamento;18.115942028985508
Apartamento;Camorim;2;1;0;48;1000.0;340.0;90.0;Apartamento;20.833333333333332
Apartamento;Leblon;4;2;2;240;17900.0;5000.0;1000.0;Apartamento;74.58333333333333
Apartamento;Laranjeiras;4;2;1;350;10000.0;3000.0;403.0;Apartamento;28.571428571428573
Apartamento;Barra da Tijuca;2;1;1;87;2300.0;1482.0;251.0;Apartamento;26.436781609195403
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1500.0;800.0;130.0;Apartamento;21.428571428571427
Apartamento;Barra da Tijuca;3;1;1;75;1900.0;750.0;60.0;Apartamento;25.333333333333332
Apartamento;Barra da Tijuca;2;1;1;80;3500.0;1100.0;140.0;Apartamento;43.75
Casa de Condomínio;Barra da Tijuca;5;6;5;1050;15000.0;2000.0;2000.0;Casa;14.285714285714286
Apartamento;Copacabana;3;0;2;130;4000.0;950.0;200.0;Apartamento;30.76923076923077
Apartamento;Cascadura;3;0;0;58;990.0;100.0;0.0;Apartamento;17.06896551724138
Apartamento;Humaitá;2;1;0;72;2900.0;815.0;96.0;Apartamento;40.27777777777778
